                                                                                AngularVelocity                                                                 10.04.2519.43.20104 
Timestamp,GyroX,GyroY,GyroZ
1744304518.952,40.67000198364258,95.62000274658203,-13.369999885559082
1744304518.952,3.5,113.47000122070312,20.860000610351562
1744304518.952,28.90999984741211,84.62999725341797,70.91000366210938
1744304518.952,75.66999816894531,-41.93000030517578,88.69000244140625
1744304518.952,43.88999938964844,-140.35000610351562,65.02999877929688
1744304518.952,46.970001220703125,-50.470001220703125,5.039999961853027
1744304518.952,23.170000076293945,68.25,-45.08000183105469
1744304518.952,28.420000076293945,78.81999969482422,-84.84000396728516
1744304519.026,55.439998626708984,-29.889999389648438,-104.51000213623047
1744304519.026,83.16000366210938,-103.38999938964844,-82.45999908447266
1744304519.026,96.52999877929688,-55.439998626708984,-35.06999969482422
1744304519.026,77.06999969482422,8.75,-9.800000190734863
1744304519.026,50.2599983215332,37.310001373291016,-11.970000267028809
1744304519.026,35.209999084472656,8.329999923706055,-22.469999313354492
1744304519.026,32.54999923706055,-37.099998474121094,-39.060001373291016
1744304519.026,36.33000183105469,-53.619998931884766,-54.7400016784668
1744304519.1,45.220001220703125,-59.150001525878906,-63.209999084472656
1744304519.1,52.150001525878906,-61.67000198364258,-62.790000915527344
1744304519.1,53.34000015258789,-62.650001525878906,-53.54999923706055
1744304519.1,54.11000061035156,-65.59000396728516,-40.18000030517578
1744304519.1,53.54999923706055,-65.5199966430664,-29.260000228881836
1744304519.1,52.9900016784668,-65.87000274658203,-25.829999923706055
1744304519.1,50.189998626708984,-72.23999786376953,-30.65999984741211
1744304519.1,45.150001525878906,-75.94999694824219,-39.970001220703125
1744304519.175,41.09000015258789,-75.66999816894531,-48.22999954223633
1744304519.175,39.40999984741211,-76.51000213623047,-52.0099983215332
1744304519.175,39.7599983215332,-83.44000244140625,-52.08000183105469
1744304519.175,41.02000045776367,-97.58000183105469,-51.45000076293945
1744304519.175,40.95000076293945,-111.93000030517578,-51.17000198364258
1744304519.175,36.88999938964844,-119.3499984741211,-50.81999969482422
1744304519.175,30.309999465942383,-113.68000030517578,-50.61000061035156
1744304519.175,26.950000762939453,-94.8499984741211,-50.88999938964844
1744304519.249,24.219999313354492,-74.69000244140625,-50.81999969482422
1744304519.249,20.93000030517578,-62.58000183105469,-50.61000061035156
1744304519.249,17.219999313354492,-55.02000045776367,-51.2400016784668
1744304519.249,14.420000076293945,-49.630001068115234,-52.63999938964844
1744304519.249,15.050000190734863,-44.17000198364258,-53.619998931884766
1744304519.249,15.539999961853027,-35.349998474121094,-53.900001525878906
1744304519.249,18.690000534057617,-24.639999389648438,-52.5
1744304519.249,22.049999237060547,-17.56999969482422,-50.61000061035156
1744304519.324,25.200000762939453,-17.219999313354492,-46.970001220703125
1744304519.324,29.260000228881836,-31.219999313354492,-42.279998779296875
1744304519.324,28.139999389648438,-41.58000183105469,-36.75
1744304519.324,23.3799991607666,-42.349998474121094,-31.079999923706055
1744304519.324,18.059999465942383,-35.77000045776367,-27.020000457763672
1744304519.324,10.710000038146973,-30.65999984741211,-23.450000762939453
1744304519.324,4.199999809265137,-31.639999389648438,-20.299999237060547
1744304519.324,-0.7699999809265137,-33.11000061035156,-18.1299991607666
1744304519.398,-7.070000171661377,-34.02000045776367,-15.539999961853027
1744304519.398,-12.739999771118164,-36.04999923706055,-12.180000305175781
1744304519.398,-17.639999389648438,-36.33000183105469,-8.050000190734863
1744304519.398,-24.43000030517578,-33.18000030517578,-3.2899999618530273
1744304519.398,-32.7599983215332,-25.969999313354492,1.6100000143051147
1744304519.398,-40.7400016784668,-18.479999542236328,6.929999828338623
1744304519.398,-49.349998474121094,-15.470000267028809,12.739999771118164
1744304519.398,-59.9900016784668,-17.850000381469727,17.850000381469727
1744304519.472,-69.79000091552734,-26.670000076293945,21.489999771118164
1744304519.472,-80.77999877929688,-45.08000183105469,25.549999237060547
1744304519.472,-92.19000244140625,-67.05999755859375,36.33000183105469
1744304519.472,-111.37000274658203,-73.5,48.86000061035156
1744304519.472,-129.2899932861328,-64.95999908447266,57.61000061035156
1744304519.472,-137.1300048828125,-91.3499984741211,69.51000213623047
1744304519.472,-145.52999877929688,-70.7699966430664,78.4000015258789
1744304519.472,-153.50999450683594,-38.290000915527344,87.56999969482422
1744304519.546,-145.6699981689453,-54.529998779296875,97.30000305175781
1744304519.546,-123.83000183105469,-81.2699966430664,104.16000366210938
1744304519.546,-110.18000030517578,-109.12999725341797,111.51000213623047
1744304519.546,-77.27999877929688,-107.7300033569336,113.47000122070312
1744304519.546,-81.2699966430664,-99.12000274658203,127.68000030517578
1744304519.546,-56,-66.56999969482422,109.41000366210938
1744304519.546,-72.94000244140625,-13.369999885559082,111.58000183105469
1744304519.546,-111.72000122070312,41.15999984741211,125.93000030517578
1744304519.621,-126.13999938964844,79.44999694824219,131.8800048828125
1744304519.621,-183.47000122070312,92.75,152.9499969482422
1744304519.621,-171.5,92.33000183105469,165.1999969482422
1744304519.621,-176.5399932861328,111.30000305175781,164.2899932861328
1744304519.621,-165.47999572753906,106.19000244140625,140.55999755859375
1744304519.621,-144.69000244140625,97.72000122070312,116.62000274658203
1744304519.621,-162.88999938964844,115.5,116.34000396728516
1744304519.621,-138.9499969482422,116.69000244140625,120.12000274658203
1744304519.696,-138.11000061035156,96.94999694824219,135.66000366210938
1744304519.696,-131.32000732421875,71.75,138.11000061035156
1744304519.696,-147.55999755859375,47.599998474121094,140.49000549316406
1744304519.696,-132.02000427246094,35.97999954223633,140.6999969482422
1744304519.696,-129.00999450683594,31.639999389648438,138.6699981689453
