                                                                                MagneticField                                                                   10.04.2519.43.20104 
Timestamp,MagnX,MagnY,MagnZ
1744304518.939,117.96945190429688,-175.5237579345703,32.300411224365234
1744304518.939,118.8374252319336,-175.65615844726562,33.532798767089844
1744304518.939,118.39812469482422,-173.99114990234375,33.55052185058594
1744304518.939,119.75174713134766,-171.81838989257812,35.048099517822266
1744304518.939,120.33358001708984,-176.17245483398438,33.8518180847168
1744304518.939,119.60999298095703,-172.6088104248047,33.507076263427734
1744304518.939,121.93260192871094,-172.7066650390625,36.137699127197266
1744304518.939,120.4548568725586,-172.46629333496094,35.20890808105469
1744304519.013,120.61326599121094,-173.5520782470703,35.29574203491211
1744304519.013,122.45243072509766,-173.59414672851562,35.83671188354492
1744304519.013,120.72589111328125,-173.32736206054688,33.65259552001953
1744304519.013,121.09070587158203,-174.448486328125,33.73178482055664
1744304519.013,121.75952911376953,-176.4237518310547,33.236976623535156
1744304519.013,120.5040512084961,-174.61541748046875,33.56593704223633
1744304519.013,123.63943481445312,-173.53717041015625,35.418304443359375
1744304519.013,123.43171691894531,-174.82225036621094,35.75263595581055
1744304519.087,123.22017669677734,-175.0677947998047,34.448856353759766
1744304519.087,123.5178451538086,-173.00318908691406,34.11191177368164
1744304519.087,121.51423645019531,-173.19674682617188,33.670467376708984
1744304519.087,125.42843627929688,-176.5098419189453,34.038246154785156
1744304519.087,125.97235107421875,-172.59251403808594,36.83180618286133
1744304519.087,123.6004409790039,-174.8655242919922,34.62234878540039
1744304519.087,124.01026916503906,-173.33688354492188,35.31113815307617
1744304519.087,122.8322525024414,-173.6717529296875,34.839111328125
1744304519.161,122.85887145996094,-170.74609375,36.0584831237793
1744304519.161,121.59223175048828,-170.54005432128906,35.26237487792969
1744304519.161,122.15094757080078,-174.6191864013672,34.53553771972656
1744304519.161,123.23135375976562,-173.46551513671875,35.57392501831055
1744304519.161,123.1802978515625,-177.4366912841797,35.15068435668945
1744304519.161,122.47248077392578,-176.78977966308594,34.84954071044922
1744304519.161,123.53108215332031,-174.040771484375,36.03068542480469
1744304519.161,123.67022705078125,-175.410400390625,34.38510513305664
1744304519.236,121.91629028320312,-174.58981323242188,33.70120620727539
1744304519.236,122.0455551147461,-176.7220916748047,34.443843841552734
1744304519.236,123.44837951660156,-176.69847106933594,34.2984504699707
1744304519.236,124.38745880126953,-176.05531311035156,34.96691131591797
1744304519.236,122.47380065917969,-175.4693603515625,34.522857666015625
1744304519.236,123.92033386230469,-174.11639404296875,35.313743591308594
1744304519.236,123.39403533935547,-174.83018493652344,34.62999725341797
1744304519.236,121.5394287109375,-176.1114959716797,33.99472427368164
1744304519.31,124.32369995117188,-174.1890411376953,35.017791748046875
1744304519.31,122.9936294555664,-176.35684204101562,34.221866607666016
1744304519.31,123.56832885742188,-174.31271362304688,35.98223114013672
1744304519.31,124.20165252685547,-174.4157257080078,36.380287170410156
1744304519.31,123.95889282226562,-173.0679168701172,34.938602447509766
1744304519.31,122.47686767578125,-172.5486602783203,35.04058074951172
1744304519.31,123.2574234008789,-175.33973693847656,34.40039825439453
1744304519.31,125.2816162109375,-173.54193115234375,36.24757766723633
1744304519.384,121.56430053710938,-174.7861328125,34.36968994140625
1744304519.384,124.8511962890625,-176.67481994628906,34.15305709838867
1744304519.384,122.38221740722656,-173.3291473388672,34.902854919433594
1744304519.384,124.73735809326172,-173.69993591308594,37.344696044921875
1744304519.384,122.7958984375,-172.35926818847656,33.3897819519043
1744304519.384,122.84288787841797,-176.86936950683594,33.57128143310547
1744304519.384,124.98956298828125,-174.5649871826172,35.2270622253418
1744304519.384,122.5637435913086,-174.68984985351562,34.52024841308594
1744304519.458,122.73289489746094,-174.4532470703125,34.561058044433594
1744304519.458,123.51488494873047,-171.40391540527344,34.81599044799805
1744304519.458,122.86993408203125,-173.663818359375,35.96175003051758
1744304519.458,124.64655303955078,-175.03919982910156,35.00510787963867
1744304519.458,125.50643157958984,-173.85316467285156,35.630149841308594
1744304519.458,125.50643157958984,-173.85316467285156,35.630149841308594
1744304519.458,122.56078338623047,-173.09056091308594,35.224327087402344
1744304519.458,124.57162475585938,-174.77517700195312,33.93092727661133
1744304519.532,121.8949203491211,-172.714599609375,35.01506042480469
1744304519.532,123.52123260498047,-174.3226318359375,34.57892990112305
1744304519.532,122.96669006347656,-175.0423583984375,33.053199768066406
1744304519.532,122.20956420898438,-176.766357421875,33.1732292175293
1744304519.532,120.12511444091797,-173.49728393554688,33.065757751464844
1744304519.532,121.36984252929688,-176.6280059814453,32.78282165527344
1744304519.532,119.93284606933594,-173.45896911621094,33.49439239501953
1744304519.532,122.22500610351562,-175.4429473876953,33.26752853393555
1744304519.607,121.46275329589844,-177.4477996826172,32.076133728027344
1744304519.607,120.19918060302734,-174.321044921875,31.79775047302246
1744304519.607,120.19654083251953,-176.96188354492188,32.45112228393555
1744304519.607,120.97074890136719,-176.83424377441406,32.048004150390625
1744304519.607,118.9234390258789,-178.35711669921875,30.670276641845703
1744304519.607,123.54981231689453,-178.5568084716797,35.37020492553711
1744304519.607,122.4486083984375,-172.5546112060547,34.1985969543457
1744304519.607,122.4486083984375,-172.5546112060547,34.1985969543457
1744304519.681,122.06703186035156,-174.07728576660156,34.35179138183594
1744304519.681,122.51235961914062,-174.42088317871094,34.1477165222168
1744304519.681,123.3096923828125,-174.56814575195312,33.275150299072266
1744304519.681,122.43273162841797,-174.15785217285156,32.933197021484375
1744304519.681,125.03108978271484,-175.1157989501953,34.1478385925293
1744304519.681,125.5273666381836,-176.00823974609375,33.14520263671875
