                                                                                LinearAcceleration                                                              10.04.2519.43.20104 
Timestamp,AccX,AccY,AccZ
1744304518.939,-1.3543859720230103,10.916446685791016,5.053822040557861
1744304518.939,-2.368978977203369,11.117450714111328,5.159110069274902
1744304518.939,-2.9911351203918457,11.447671890258789,4.833674430847168
1744304518.939,-2.5460541248321533,11.184452056884766,4.197160720825195
1744304518.939,-3.3357138633728027,11.170095443725586,2.3450498580932617
1744304518.939,-2.8140599727630615,10.643654823303223,2.0291860103607178
1744304518.939,-0.15314611792564392,10.117215156555176,2.8284173011779785
1744304518.939,1.9382555484771729,10.074143409729004,3.589362144470215
1744304519.013,2.292405843734741,8.42782211303711,4.417308330535889
1744304519.013,0.363722026348114,7.5998759269714355,5.259612083435059
1744304519.013,-2.536482572555542,7.666877746582031,5.967912673950195
1744304519.013,-2.8858470916748047,7.327084541320801,6.896361351013184
1744304519.013,-2.8427748680114746,7.504159927368164,7.0830078125
1744304519.013,-2.28283429145813,8.22203254699707,6.374707221984863
1744304519.013,-1.928683876991272,9.265339851379395,5.671192169189453
1744304519.013,-1.0241646766662598,10.01671314239502,5.116037368774414
1744304519.087,-0.5168681740760803,10.145930290222168,4.886318206787109
1744304519.087,0.43550926446914673,9.64341926574707,4.56566858291626
1744304519.087,0.904519259929657,9.394556999206543,4.067943572998047
1744304519.087,0.5551546812057495,8.76761531829834,4.431665897369385
1744304519.087,-0.0909305065870285,9.327555656433105,4.091872692108154
1744304519.087,-1.4596738815307617,8.982976913452148,4.1205878257751465
1744304519.087,-2.268476963043213,9.404129028320312,4.154088497161865
1744304519.087,-3.5462896823883057,9.676919937133789,4.010513782501221
1744304519.161,-3.2782840728759766,9.710420608520508,3.8477962017059326
1744304519.161,-3.1873536109924316,8.858545303344727,3.5797905921936035
1744304519.161,-2.086615800857544,9.064335823059082,3.1586387157440186
1744304519.161,-1.6846072673797607,8.719757080078125,2.732701063156128
1744304519.161,-0.9571632146835327,8.0736722946167,2.718343496322632
1744304519.161,-0.3732936680316925,6.767144203186035,2.6082699298858643
1744304519.161,-0.1005021408200264,7.365371227264404,2.684842824935913
1744304519.161,-0.03828652948141098,6.704928398132324,2.833203077316284
1744304519.236,-0.11007377505302429,7.70037841796875,2.881061315536499
1744304519.236,-0.9428057670593262,7.475444793701172,3.1299238204956055
1744304519.236,-1.5123178958892822,8.346463203430176,3.1586387157440186
1744304519.236,-1.5362470149993896,8.346463203430176,3.374000310897827
1744304519.236,-1.7085363864898682,8.872902870178223,3.584576368331909
1744304519.236,-1.7324655055999756,9.389771461486816,3.239997625350952
1744304519.236,-0.9571632146835327,9.423272132873535,3.0964231491088867
1744304519.236,-0.6652284264564514,9.581204414367676,3.0102784633636475
1744304519.31,-0.41636601090431213,9.102622032165527,2.924133777618408
1744304519.31,-0.07657305896282196,8.76761531829834,2.7422726154327393
1744304519.31,0.45943835377693176,8.57618236541748,2.7709875106811523
1744304519.31,0.37807947397232056,8.107172966003418,2.641770601272583
1744304519.31,-0.6365135312080383,8.092815399169922,2.6561279296875
1744304519.31,-1.9238981008529663,8.049742698669434,2.7422726154327393
1744304519.31,-2.703986167907715,8.097600936889648,3.0964231491088867
1744304519.31,-3.182567834854126,8.437394142150879,2.8475606441497803
1744304519.384,-3.0533506870269775,8.868117332458496,2.9193477630615234
1744304519.384,-2.2158329486846924,9.346698760986328,2.6609137058258057
1744304519.384,-1.2203831672668457,9.542917251586914,2.268476963043213
1744304519.384,-0.6173703074455261,9.849209785461426,1.8425391912460327
1744304519.384,-0.746587336063385,10.07892894744873,1.3926725387573242
1744304519.384,-1.148595929145813,10.25121784210205,1.7276796102523804
1744304519.384,-0.9810923337936401,10.189002990722656,0.8518753051757812
1744304519.384,-1.3017419576644897,9.949711799621582,0.9667348861694336
1744304519.458,-1.3687434196472168,9.65299129486084,0.9810923337936401
1744304519.458,-1.584105134010315,9.724778175354004,3.2208542823791504
1744304519.458,-1.1007376909255981,9.394556999206543,3.752079963684082
1744304519.458,-0.17707519233226776,9.777422904968262,5.202182292938232
1744304519.458,0.07657305896282196,11.48595905303955,6.3699212074279785
1744304519.458,1.3208853006362915,12.261260986328125,6.489566802978516
1744304519.458,1.7228938341140747,12.165544509887695,6.623569488525391
1744304519.458,1.2490980625152588,12.179902076721191,6.9107184410095215
1744304519.532,-0.9284483194351196,12.323476791381836,6.604426383972168
1744304519.532,-1.6558923721313477,9.71520709991455,6.7767157554626465
1744304519.532,-1.7037506103515625,8.537896156311035,6.618783950805664
1744304519.532,-1.5793193578720093,7.537660598754883,6.661856174468994
1744304519.532,-1.6750357151031494,6.8054304122924805,6.4321370124816895
1744304519.532,-1.1438100337982178,6.192846298217773,6.2981343269348145
1744304519.532,0.11964540183544159,7.236154079437256,6.001413345336914
1744304519.532,1.0863802433013916,8.370392799377441,6.1306304931640625
1744304519.607,1.3496001958847046,9.853995323181152,6.628355503082275
1744304519.607,1.5888910293579102,11.686963081359863,6.67621374130249
1744304519.607,1.7324655055999756,13.165780067443848,6.546996593475342
1744304519.607,1.689393162727356,13.347640991210938,6.125844955444336
1744304519.607,1.876039981842041,13.127493858337402,5.814766883850098
1744304519.607,1.6558923721313477,11.720463752746582,5.623333930969238
1744304519.607,1.072022795677185,10.524009704589844,5.5898332595825195
1744304519.607,0.11964540183544159,10.418722152709961,5.345756530761719
1744304519.681,-0.3541503846645355,9.480701446533203,4.742743968963623
1744304519.681,-0.8518753051757812,8.446965217590332,4.603955268859863
1744304519.681,-0.45943835377693176,7.513731479644775,4.000942230224609
